passage	node	occurrence	OSMmorph	OSMtype	BHStype	OSMmorphSuffix	OSMsuffixType	BHSsuffixType
Numbers 1:20	69854	מַ֔עְלָה	HD	adverb	noun::	HSd	directional he	:H
Numbers 1:22	69891	מַ֔עְלָה	HD	adverb	noun::	HSd	directional he	:H
Numbers 2:9	70537	מְאַ֨ת	HR	preposition	noun:cardinal:	None	?	:
Numbers 2:9	70538	אֶ֜לֶף	HAcbsc	cardinal number	noun:cardinal:	HAcbsa	cardinal number	:
Numbers 2:16	70632	מְאַ֨ת	HR	preposition	noun:cardinal:	None	?	:
Numbers 2:16	70633	אֶ֜לֶף	HAcbsc	cardinal number	noun:cardinal:	HAcbsa	cardinal number	:
Numbers 2:24	70744	אֶ֛לֶף	HAcbsc	cardinal number	noun:cardinal:	HAcbsa	cardinal number	:
Numbers 2:31	70834	אֶ֗לֶף	HAcbsc	cardinal number	noun:cardinal:	HAcbsa	cardinal number	:
Numbers 7:13	74146	מְלֵאִ֗ים	HAampa	adjective	verb::	None	?	:
Numbers 7:14	74158	מְלֵאָ֥ה	HAafsa	adjective	verb::	None	?	:
Numbers 7:19	74228	מְלֵאִ֗ים	HAampa	adjective	verb::	None	?	:
Numbers 7:20	74240	מְלֵאָ֥ה	HAafsa	adjective	verb::	None	?	:
Numbers 7:25	74309	מְלֵאִ֗ים	HAampa	adjective	verb::	None	?	:
Numbers 7:26	74321	מְלֵאָ֥ה	HAafsa	adjective	verb::	None	?	:
Numbers 7:31	74390	מְלֵאִ֗ים	HAampa	adjective	verb::	None	?	:
Numbers 7:32	74402	מְלֵאָ֥ה	HAafsa	adjective	verb::	None	?	:
Numbers 7:37	74471	מְלֵאִ֗ים	HAampa	adjective	verb::	None	?	:
Numbers 7:38	74483	מְלֵאָ֥ה	HAafsa	adjective	verb::	None	?	:
Numbers 10:4	76318	אַלְפֵ֥י	HAcbpc	cardinal number	noun:noun of multitude:	None	?	:
Numbers 10:36	76792	רִֽבְבֹ֖ות	HNcfpc	common	noun:noun of multitude:	None	?	:
Numbers 10:36	76793	אַלְפֵ֥י	HAcbpc	cardinal number	noun:noun of multitude:	None	?	:
Numbers 11:10	76982	אַ֤ף	HTa	affirmation	noun::	None	?	:
Numbers 12:9	77733	אַ֧ף	HTa	affirmation	noun::	None	?	:
Numbers 13:28	78266	אֶ֚פֶס	HNcmsa	common	noun:copulative noun:	None	?	:
Numbers 14:11	78625	אָ֥נָה	HD	adverb	interrogative particle::	None	?	:
Numbers 14:11	78633	אָ֨נָה֙	HD	adverb	interrogative particle::	None	?	:
Numbers 16:11	80256	לָכֵ֗ן	HR	preposition	adverb:conjunctive adverb:	HD	adverb	:
Numbers 20:12	82792	לָכֵ֗ן	HR	preposition	adverb:conjunctive adverb:	HD	adverb	:
Numbers 22:22	84242	אַ֣ף	HTa	affirmation	noun::	None	?	:
Numbers 22:27	84374	אַ֣ף	HTa	affirmation	noun::	None	?	:
Numbers 22:35	84560	אֶ֗פֶס	HNcmsa	common	noun:copulative noun:	None	?	:
Numbers 23:13	84915	אֶ֚פֶס	HNcmsa	common	noun:copulative noun:	None	?	:
Numbers 23:18	85007	בְּנֹ֥ו	HNcmsc	common	noun::	HSp3ms	pronominal	:W
Numbers 24:3	85260	בְּנֹ֣ו	HNcmsc	common	noun::	HSp3ms	pronominal	:W
Numbers 24:10	85352	אַ֤ף	HTa	affirmation	noun::	None	?	:
Numbers 24:13	85425	טֹובָ֛ה	HAafsa	adjective	noun::	None	?	:
Numbers 24:15	85462	בְּנֹ֣ו	HNcmsc	common	noun::	HSp3ms	pronominal	:W
Numbers 25:6	85714	מִּדְיָנִ֔ית	HAafsa	adjective	adjective:gentilic:	None	?	:
Numbers 25:12	85826	לָכֵ֖ן	HR	preposition	adverb:conjunctive adverb:	HD	adverb	:
Numbers 25:14	85864	מִּדְיָנִ֔ית	HAafsa	adjective	adjective:gentilic:	None	?	:
Numbers 25:15	85881	מִּדְיָנִ֖ית	HAafsa	adjective	adjective:gentilic:	None	?	:
Numbers 27:7	87018	כֵּ֗ן	HTm	demonstrative	adjective::	None	?	:
Numbers 31:5	88937	אַלְפֵ֣י	HAcbpc	cardinal number	noun:noun of multitude:	None	?	:
Numbers 31:48	89752	אַלְפֵ֣י	HAcbpc	cardinal number	noun:noun of multitude:	None	?	:
Numbers 34:5	91484	נַ֣חְלָה	HNcmsc	common	noun::	HSh	paragogic he	:H
Numbers 36:5	92641	כֵּ֛ן	HTm	demonstrative	adjective::	None	?	:
Deuteronomy 1:28	93374	אָנָ֣ה	HD	adverb	interrogative particle::	None	?	:
Deuteronomy 10:17	99503	גִּבֹּר֙	HAamsa	adjective	noun::	None	?	:
Deuteronomy 15:4	102035	אֶ֕פֶס	HNcmsa	common	noun:copulative noun:	None	?	:
Deuteronomy 23:7	106011	טֹבָתָ֑ם	HAafsc	adjective	noun::	HSp3mp	pronominal	p:
Deuteronomy 26:14	107494	אֹנִ֜י	HNcmsa	common	noun::	None	?	p:
Deuteronomy 28:11	108272	טֹובָ֔ה	HAafsa	adjective	noun::	None	?	:
Deuteronomy 32:11	111587	כְּנָפָיו֙	HD	adverb	noun::		?	p:
Deuteronomy 32:30	111834	רְבָבָ֑ה	HNcfsa	common	noun:noun of multitude:	None	?	:
Deuteronomy 33:2	112259	רִבְבֹ֣ת	HNcfpc	common	noun:noun of multitude:	None	?	:
Deuteronomy 33:17	112490	אַפְסֵי	HNcmpc	common	noun:copulative noun:	None	?	:
Deuteronomy 33:17	112494	רִבְבֹ֣ות	HNcfpc	common	noun:noun of multitude:	None	?	:
Deuteronomy 33:17	112498	אַלְפֵ֥י	HAcbpc	cardinal number	noun:noun of multitude:	None	?	:
Joshua 2:4	113450	כֵּ֗ן	HTm	demonstrative	adjective::	None	?	:
Joshua 2:5	113476	אָ֥נָה	HD	adverb	interrogative particle::	None	?	:
Joshua 15:28	121878	שֶׁ֖בַע	HAcfsa	cardinal number	proper noun::	None	?	:
Joshua 18:3	122887	אָ֨נָה֙	HD	adverb	interrogative particle::	None	?	:
Joshua 19:2	123440	שֶׁ֥בַע	HAcfsa	cardinal number	proper noun::	None	?	:
Joshua 19:2	123442	שֶׁ֖בַע	HAcfsa	cardinal number	proper noun::	None	?	:
Joshua 21:11	124651	מִגְרָשֶׁ֖הָ	HNcmpc	common	noun::	HSd	directional he	p:
Joshua 21:13	124684	מִגְרָשֶׁ֑הָ	HNcmpc	common	noun::	HSd	directional he	p:
Joshua 21:13	124690	מִגְרָשֶֽׁהָ	HNcmpc	common	noun::	HSd	directional he	p:
Joshua 21:14	124696	מִגְרָשֶׁ֔הָ	HNcmpc	common	noun::	HSd	directional he	p:
Joshua 21:14	124702	מִגְרָשֶֽׁהָ	HNcmpc	common	noun::	HSd	directional he	p:
Joshua 21:15	124708	מִגְרָשֶׁ֔הָ	HNcmpc	common	noun::	HSd	directional he	p:
Joshua 21:15	124714	מִגְרָשֶֽׁהָ	HNcmpc	common	noun::	HSd	directional he	p:
Joshua 21:16	124720	מִגְרָשֶׁ֗הָ	HNcmpc	common	noun::	HSd	directional he	p:
Joshua 21:16	124726	מִגְרָשֶׁ֔הָ	HNcmpc	common	noun::	HSd	directional he	p:
Joshua 21:16	124731	מִגְרָשֶׁ֑הָ	HNcmpc	common	noun::	HSd	directional he	p:
Joshua 22:14	125618	אַלְפֵ֥י	HAcbpc	cardinal number	noun:noun of multitude:	None	?	:
Joshua 22:21	125800	אַלְפֵ֥י	HAcbpc	cardinal number	noun:noun of multitude:	None	?	:
Joshua 22:30	126046	אַלְפֵ֤י	HAcbpc	cardinal number	noun:noun of multitude:	None	?	:
Judges 1:5	127539	אֲדֹנִ֥י בֶ֨זֶק֙	HNp	proper name	proper noun::	HNp	proper name	:
Judges 1:6	127556	אֲדֹ֣נִי בֶ֔זֶק	HNp	proper name	proper noun::	HNp	proper name	:
Judges 1:7	127572	אֲדֹֽנִי־בֶ֗זֶק	HNp	proper name	proper noun::	HNp	proper name	:
Judges 1:10	127653	קִרְיַ֣ת אַרְבַּ֑ע	HNp	proper name	proper noun::	HAcfsa	cardinal number	:
Judges 1:11	127676	קִרְיַת־סֵֽפֶר	HNp	proper name	proper noun::	HNp	proper name	:
Judges 1:12	127683	קִרְיַת־סֵ֖פֶר	HNp	proper name	proper noun::	HNp	proper name	:
Judges 1:22	127904	בֵּֽית־אֵ֑ל	HNp	proper name	proper noun::	HNp	proper name	:
Judges 1:23	127913	בֵֽית־אֵ֑ל	HNp	proper name	proper noun::	HNp	proper name	:
Judges 1:27	127992	בֵּית־שְׁאָ֣ן	HNp	proper name	proper noun::	HNp	proper name	:
Judges 1:33	128133	בֵֽית־שֶׁ֨מֶשׁ֙	HNp	proper name	proper noun::	HNp	proper name	:
Judges 1:33	128137	בֵית־עֲנָ֔ת	HNp	proper name	proper noun::	HNp	proper name	:
Judges 4:9	129562	אֶ֚פֶס	HNcmsa	common	noun:copulative noun:	None	?	:
Judges 4:11	129619	חֹתֵ֣ן	HNcmsc	common	verb::	None	?	:
Judges 5:26	130324	עֲמֵלִ֑ים	HNcmpa	common	adjective::	None	?	:
Judges 6:11	130641	אֲבִ֣י	HNgmsa	gentilic	noun::	None	?	:J
Judges 6:15	130741	אַלְפִּי֙	HNcmsc	common	noun:noun of multitude:	HSp1cs	pronominal	p:
Judges 6:24	130962	אֲבִ֥י	HNgmsa	gentilic	noun::	None	?	:J
Judges 8:7	132272	לָכֵ֗ן	HR	preposition	adverb:conjunctive adverb:	HD	adverb	:
Judges 10:13	134367	לָכֵ֥ן	HR	preposition	adverb:conjunctive adverb:	HD	adverb	:
Judges 11:8	134614	לָכֵן֙	HR	preposition	adverb:conjunctive adverb:	HD	adverb	:
Judges 12:6	135537	כֵּ֔ן	HTm	demonstrative	adjective::	None	?	:
Judges 19:17	139509	אָ֥נָה	HD	adverb	interrogative particle::	None	?	:
Judges 19:23	139675	אַל	HTn	negative	preposition::	None	?	:
Judges 20:1	139905	שֶׁ֔בַע	HAcfsa	cardinal number	proper noun::	None	?	:
Judges 20:10	140087	רְבָבָ֔ה	HNcfsa	common	noun:noun of multitude:	None	?	:
1_Samuel 2:10	142251	אַפְסֵי	HNcmpc	common	noun:copulative noun:	None	?	:
1_Samuel 2:30	142706	לָכֵ֗ן	HR	preposition	adverb:conjunctive adverb:	HD	adverb	:
1_Samuel 4:21	143795	אִֽי־כָבֹוד֙	HTj	interjection	proper noun::		?	:
1_Samuel 7:9	144886	יעלה	HVhw3ms	verb	verb::	None	?	p:
1_Samuel 10:19	146672	אַלְפֵיכֶֽם	HAcbpc	cardinal number	noun:noun of multitude:	HSp2mp	pronominal	p:
1_Samuel 16:16	150632	טֹ֥וב	HVqq3ms	verb	adjective::	None	?	:
1_Samuel 16:23	150776	טֹ֣וב	HVqp3ms	verb	adjective::	None	?	:
1_Samuel 18:1	152175	יאהבו	HVqw3ms	verb	verb::	None	?	p:
1_Samuel 18:7	152309	רִבְבֹתָֽיו	HNcfpc	common	noun:noun of multitude:	HSp3ms	pronominal	p:
1_Samuel 18:8	152328	רְבָבֹ֔ות	HNcfpa	common	noun:noun of multitude:	None	?	:
1_Samuel 23:17	155703	כֵּֽן	HTm	demonstrative	adjective::	None	?	:
1_Samuel 27:10	158427	אַל	HTn	negative	interrogative particle::	None	?	:
2_Samuel 1:21	160870	בְּלִ֖י	HTn	negative	noun:potential preposition:	None	?	:
2_Samuel 2:1	160986	אָ֥נָה	HD	adverb	interrogative particle::	None	?	:
2_Samuel 12:14	166691	אֶ֗פֶס	HNcmsa	common	noun:copulative noun:	None	?	:
2_Samuel 13:13	167413	אָ֤נָה	HD	adverb	interrogative particle::	None	?	:
2_Samuel 16:18	170177	לא	HTn	negative	preposition::	None	?	p:
2_Samuel 17:11	170533	שֶׁ֔בַע	HAcfsa	cardinal number	proper noun::	None	?	:
2_Samuel 19:7	172095	לא	HTn	negative	conjunction::	None	?	:
2_Samuel 20:1	173091	שֶׁ֥בַע	HAcfsa	cardinal number	proper noun::	None	?	:
2_Samuel 20:2	173128	שֶׁ֣בַע	HAcfsa	cardinal number	proper noun::	None	?	:
2_Samuel 20:6	173220	שֶׁ֥בַע	HAcfsa	cardinal number	proper noun::	None	?	:
2_Samuel 24:3	175489	כָּהֵ֤ם	HR	preposition	preposition::	HPp3mp	personal	p:
2_Samuel 24:3	175491	כָהֵם֙	HR	preposition	preposition::	HPp3mp	personal	p:
1_Kings 6:24	180572	כְּנָפָ֖יו	HD	adverb	noun::		?	p:
1_Kings 6:24	180576	כְּנָפָֽיו	HD	adverb	noun::		?	p:
1_Kings 22:49	194645	עשׂר	HAcmsa	cardinal number	verb::	None	?	:
2_Kings 6:10	198335	הזהירה	HVhp3ms	verb	verb::	HSh	paragogic he	p:
2_Kings 8:10	199807	לא	HTn	negative	preposition::	None	?	p:
2_Kings 25:27	212008	אֱוִ֣יל מְרֹדַךְ֩	HAamsa	adjective	proper noun::		?	:
Isaiah 1:5	212146	וְ	HR	preposition	conjunction::	None	?	:
Isaiah 3:24	213261	כִּי	HC	conjunction	noun::	None	?	:
Isaiah 3:26	213275	אָנ֥וּ	HD	adverb	verb::	None	?	:
Isaiah 5:8	213572	אֶ֣פֶס	HNcmsc	common	noun:copulative noun:	None	?	:
Isaiah 9:2	215177	לא	HTn	negative	preposition::	None	?	p:
Isaiah 14:6	216934	בְּלִ֥י	HTn	negative	noun:potential preposition:	None	?	:
Isaiah 19:8	218260	אָנוּ֙	HD	adverb	verb::	None	?	:
Isaiah 23:2	219430	אִ֑י	HTj	interjection	noun::	None	?	:
Isaiah 23:6	219483	אִֽי	HTj	interjection	noun::	None	?	:
Isaiah 28:8	220950	בְּלִ֖י	HTn	negative	noun:potential preposition:	None	?	:
Isaiah 32:10	222800	בְּלִ֥י	HTn	negative	noun:potential preposition:	None	?	:
Isaiah 34:12	223468	אָֽפֶס	HNcmsa	common	noun:copulative noun:	None	?	:
Isaiah 34:16	223544	קִבְּצָֽן	HVpp3ms	verb	verb::	HSn	paragogic nun	p:
Isaiah 38:17	225311	בְּלִ֔י	HTn	negative	noun:potential preposition:	None	?	:
Isaiah 47:8	228639	אַפְסִ֣י	HNcmsc	common	noun:copulative noun:	HSp1cs	pronominal	:J
Isaiah 47:10	228689	אַפְסִ֥י	HNcmsc	common	noun:copulative noun:	HSp1cs	pronominal	:J
Isaiah 49:5	229221	לא	HTn	negative	preposition::	None	?	p:
Isaiah 56:9	231488	חַיְתֹ֣ו	HNcfsc	common	noun::	None	?	:W
Isaiah 56:9	231494	חַיְתֹ֖ו	HNcfsc	common	noun::	None	?	:W
Isaiah 63:9	233605	לא	HTn	negative	preposition::	None	?	p:
Jeremiah 9:24	239863	מ֖וּל	HR	preposition	verb::	None	?	:
Jeremiah 18:3	243708	הו	HSp3ms	pronominal	personal pronoun::	None	?	:
Jeremiah 47:4	260328	אִ֥י	HTj	interjection	noun::	None	?	:
Jeremiah 47:6	260350	אַל	HTn	negative	preposition::	None	?	:
Jeremiah 52:31	264667	אֱוִ֣יל מְרֹדַךְ֩	HAamsa	adjective	proper noun::		?	:
Ezekiel 48:16	290515	חֲמֵ֥שׁ חמשׁ	HAcfsa	cardinal number	noun:cardinal:	HAcfsa	cardinal number	:
Hosea 1:4	290992	מְעַ֗ט	HAamsa	adjective	noun:potential adverb:	None	?	:
Hosea 1:6	291032	לֹ֣א רֻחָ֑מָה	HTn	negative	proper noun::	HNp	proper name	:
Hosea 1:8	291074	לֹ֣א רֻחָ֑מָה	HTn	negative	proper noun::	HNp	proper name	:
Hosea 1:9	291084	לֹ֣א עַמִּ֑י	HTn	negative	proper noun::	HNp	proper name	:
Hosea 2:3	291153	רֻחָֽמָה	HVPp3fs	verb	proper noun::	None	?	:
Hosea 2:25	291573	לֹ֣א רֻחָ֑מָה	HTn	negative	proper noun::	HNp	proper name	:
Hosea 4:18	291977	מָגִנֶּֽיהָ	HNcbpc	common	adjective::	HSp3fs	pronominal	p:
Hosea 7:4	292417	אֹפֶ֑ה	HVqrmsa	verb	noun::	None	?	:
Hosea 7:6	292448	אֹֽפֵהֶ֔ם	HVqrmsc	verb	noun::	HSp3mp	pronominal	p:
Hosea 7:8	292480	בְּלִ֥י	HTn	negative	noun:potential preposition:	None	?	:
Hosea 8:7	292687	בְּלִ֣י	HTn	negative	noun:potential preposition:	None	?	:
Hosea 8:10	292726	מְּעָ֔ט	HAamsa	adjective	noun:potential adverb:	None	?	:
Hosea 9:10	292956	אָהֳבָֽם	HVqc	verb	noun::	HSp3mp	pronominal	p:
Hosea 10:13	293265	עַוְלָ֥תָה	HNcfsc	common	noun::	HSd	directional he	:
Hosea 13:10	293827	אֵפֹ֔וא	HD	adverb	interjection::	None	?	:
Joel 3:2	294932	הֵ֔מָּה	HPdxmp	demonstrative	personal pronoun::	None	?	:
Joel 4:1	295007	הֵ֖מָּה	HPdxmp	demonstrative	personal pronoun::	None	?	:
Joel 4:3	295061	זֹּונָ֔ה	HNcfsa	common	verb::	None	?	:
Joel 4:8	295155	שְׁבָאיִ֖ם	HNgmpa	gentilic	proper noun::	None	?	:
Joel 4:14	295245	חָר֑וּץ	HNp	proper name	verb::	None	?	:
Joel 4:14	295253	חָרֽוּץ	HNp	proper name	verb::	None	?	:
Amos 5:14	296736	כֵ֞ן	HD	adverb	adjective::	None	?	:
Amos 5:25	296900	הַ	HTi	interrogative	article::	None	?	:
Amos 6:2	296968	רַבָּ֑ה	HNp	proper name	adjective::	None	?	:
Obadiah 1:3	298206	שִׁבְתֹּ֑ו	HNcfsc	common	verb::	HSp3ms	pronominal	p:
Jonah 1:15	298910	זַּעְפֹּֽו	HVqc	verb	noun::	HSp3ms	pronominal	p:
Jonah 2:4	298980	וְ	HR	preposition	conjunction::	None	?	:
Jonah 3:5	299157	וְ	HR	preposition	conjunction::	None	?	:
Jonah 4:11	299537	וּ	HR	preposition	conjunction::	None	?	:
Habakkuk 2:19	302774	דּוּמָ֑ם	HNcmsa	common	adverb::	None	?	:
Habakkuk 2:20	302794	הַ֥ס	HTj	interjection	verb::	None	?	:
Zephaniah 1:7	303207	הַ֕ס	HTj	interjection	verb::	None	?	:
Zephaniah 1:11	303303	נְטִ֥ילֵי	HNcmpc	common	adjective::	None	?	:
Zephaniah 2:14	303699	חַיְתֹו	HNcfsc	common	noun::	HSp3ms	pronominal	:W
Zephaniah 2:15	303735	אַפְסִ֣י	HNcmsc	common	noun:copulative noun:	HSp1cs	pronominal	:J
Zephaniah 3:7	303852	אָכֵן֙	HD	adverb	interjection::	None	?	:
Zephaniah 3:8	303873	קָבְצִ֣י	HVqc	verb	verb::	HSp1cs	pronominal	:J
Zephaniah 3:10	303914	פּוּצַ֔י	HVqsmsc	verb	noun::	HSp1cs	pronominal	:
Haggai 1:6	304217	מְעָ֗ט	HAamsa	adjective	noun:potential adverb:	None	?	:
Haggai 1:9	304272	מְעָ֔ט	HAamsa	adjective	noun:potential adverb:	None	?	:
Haggai 2:6	304606	הֶ	HR	preposition	article::	None	?	:
Haggai 2:18	304862	מָ֑עְלָה	HR	preposition	noun::	HSd	directional he	:H
Malachi 2:8	309931	לֵּוִ֔י	HNp	proper name	adjective:gentilic:	None	?	:
Malachi 2:12	310008	יַעֲשֶׂ֨נָּה֙	HVqi3ms	verb	verb::	HSn	paragogic nun	p:N
Malachi 3:10	310378	בְּלִי	HTn	negative	noun:potential preposition:	None	?	:
Psalms 19:4	313207	בְּ֝לִ֗י	HTn	negative	noun:potential preposition:	None	?	:
Psalms 50:10	318733	חַיְתֹו	HNcfsc	common	noun::	HSp3ms	pronominal	:W
Psalms 79:2	324272	חַיְתֹו	HNcfsc	common	noun::	HSp3ms	pronominal	:W
Psalms 79:12	324385	שִׁ֭בְעָתַיִם	HNcfda	common	noun:cardinal:	None	?	:
Psalms 90:12	326354	כֵּ֣ן	HTm	demonstrative	adjective::	None	?	:
Psalms 104:11	328329	חַיְתֹ֣ו	HNcfsc	common	noun::	HSp3ms	pronominal	:W
Psalms 104:20	328426	חַיְתֹו	HNcfsc	common	noun::	HSp3ms	pronominal	:W
Psalms 124:4	332953	נַ֝֗חְלָה	HNcmsc	common	noun::	HSh	paragogic he	:H
Job 22:30	341757	אִֽי	HTj	interjection	negative particle::	None	?	:
Proverbs 1:5	346968	חָ֭כָם	HNcmsa	common	adjective::	None	?	:
Proverbs 1:10	347016	חַ֝טָּאִ֗ים	HNcmpa	common	adjective::	None	?	:
Proverbs 3:13	347564	יָפִ֥יק	HNcfsa	common	verb::	None	?	:
Proverbs 3:35	347774	כְסִילִ֗ים	HNcmpa	common	adjective::	None	?	:
Proverbs 11:19	349793	כֵּן	HTm	demonstrative	adjective::	None	?	:
Proverbs 28:2	354600	כֵּ֣ן	HTm	demonstrative	adjective::	None	?	:
Ruth 1:13	356036	לָהֵ֣ן	HC	conjunction	adverb:conjunctive adverb:	None	?	:
Ruth 1:13	356038	עַ֚ד	HD	adverb	preposition::	None	?	:
Ruth 1:13	356042	לָהֵן֙	HC	conjunction	adverb:conjunctive adverb:	None	?	:
Ruth 1:20	356181	מָרָ֔א	HNp	proper name	adjective::	None	?	:
Ruth 2:1	356231	מידע	HVPrmsa	verb	noun::	None	?	:
Ruth 2:7	356376	מְעָֽט	HAamsa	adjective	noun:potential adverb:	None	?	:
Ruth 3:12	356979	כִּ֥י אם	HC	conjunction	conjunction::	HC	conjunction	:
Ruth 3:13	357009	חַי	HNcmsa	common	adjective::	None	?	:
Ruth 4:1	357142	פְּלֹנִ֣י	HPf	indefinite	noun::	None	?	:
Song_of_songs 2:13	357957	לכי	HVqv2fs	verb	preposition::	None	?	p:
Song_of_songs 3:8	358155	אֲחֻ֣זֵי	HVqsmpc	verb	adjective::	None	?	:
Song_of_songs 6:5	358742	הֵ֖ם	HSp3mp	pronominal	personal pronoun::	None	?	:
Song_of_songs 6:11	358841	הֲ	HTd	definite article	interrogative particle:interrogative particle:	None	?	:
Song_of_songs 6:12	358853	עַמִּי	HNcmsc	common	noun::	HSp1cs	pronominal	:J
Ecclesiastes 3:21	360509	מָ֑עְלָה	HR	preposition	noun::	HSd	directional he	:H
Ecclesiastes 8:10	362082	כֵּן	HTm	demonstrative	adjective::	None	?	:
Ecclesiastes 8:12	362111	וּ	HAcbsc	cardinal number	conjunction::	HC	conjunction	:
Ecclesiastes 9:12	362645	כָּהֵ֗ם	HR	preposition	preposition::	HPp3mp	personal	p:
Ecclesiastes 10:16	362940	אִֽי	HTj	interjection	interrogative particle::	None	?	:
Esther 5:13	367881	יְּהוּדִ֔י	HAamsa	adjective	adjective:gentilic:	None	?	:
Esther 9:13	369453	יְּהוּדִים֙	HAampa	adjective	adjective:gentilic:	None	?	:
Daniel 2:2	370568	כַּשְׂדִּ֔ים	HNgmpa	gentilic	proper noun::	None	?	:
Daniel 2:4	370601	כַּשְׂדִּ֛ים	HNgmpa	gentilic	proper noun::	None	?	:
Daniel 2:4	370605	אֲרָמִ֑ית	HNgmsa	gentilic	adjective::	None	?	:
Daniel 2:5	370625	אַזְדָּ֑א	AAafsa	adjective	adverb::	None	?	:
Daniel 2:6	370639	הֵ֨ן	ATm	demonstrative	conjunction::	None	?	:
Daniel 2:6	370653	לָהֵ֕ן	AC	conjunction	adverb:conjunctive adverb:	None	?	:
Daniel 2:7	370659	תִנְיָנ֖וּת	AAobpa	ordinal number	adverb::	None	?	:
Daniel 2:7	370668	פִשְׁרָ֥ה	ANcmsc	common	noun::	ASp3ms	pronominal	:>
Daniel 2:8	370678	דִּ֥י	AC	conjunction	preposition::	None	?	:
Daniel 2:8	370682	כָּ	AC	conjunction	preposition::	None	?	:
Daniel 2:8	370683	ל	AC	conjunction	preposition::	None	?	:
Daniel 2:8	370685	דִּ֣י	AC	conjunction	preposition::	None	?	:
Daniel 2:8	370687	דִּ֥י	AC	conjunction	preposition::	None	?	:
Daniel 2:8	370688	אַזְדָּ֖א	AAafsa	adjective	adverb::	None	?	:
Daniel 2:9	370691	דִּ֣י	ATr	relative	preposition::	None	?	:
Daniel 2:9	370709	דִּ֥י	ATr	relative	preposition::	None	?	:
Daniel 2:9	370712	לָהֵ֗ן	AC	conjunction	adverb:conjunctive adverb:	None	?	:
Daniel 2:9	370718	דִּ֥י	AC	conjunction	preposition::	None	?	:
Daniel 2:10	370728	אִיתַ֤י	ATa	affirmation	noun:copulative noun:	None	?	:
Daniel 2:10	370732	דִּ֚י	ATr	relative	preposition::	None	?	:
Daniel 2:10	370738	כָּ	AC	conjunction	preposition::	None	?	:
Daniel 2:10	370739	ל	AC	conjunction	preposition::	None	?	:
Daniel 2:10	370741	דִּ֚י	AC	conjunction	preposition::	None	?	:
Daniel 2:11	370761	דִֽי	ATr	relative	preposition::	None	?	:
Daniel 2:11	370768	אִיתַ֔י	ATa	affirmation	noun:copulative noun:	None	?	:
Daniel 2:11	370769	דִּ֥י	ATr	relative	preposition::	None	?	:
Daniel 2:11	370775	דִּ֚י	ATr	relative	preposition::	None	?	:
Daniel 2:11	370780	אִיתֹֽוהִי	ATa	affirmation	noun:copulative noun:	ASp3ms	pronominal	p:
Daniel 2:12	370781	כָּ	AC	conjunction	preposition::	None	?	:
Daniel 2:12	370784	דְּנָ֔ה	AC	conjunction	demonstrative pronoun::	None	?	:
Daniel 2:12	370796	חַכִּימֵ֥י	ANcmpc	common	adjective::	None	?	:
Daniel 2:13	370802	חַכִּֽימַיָּ֖א	ANcmpd	common	adjective::	ATd	definite article	:>
Daniel 2:14	370822	דִּ֣י	ATr	relative	preposition::	None	?	:
Daniel 2:14	370824	דִּ֚י	ATr	relative	preposition::	None	?	:
Daniel 2:14	370829	חַכִּימֵ֖י	ANcmpc	common	adjective::	None	?	:
Daniel 2:15	370837	דִֽי	ATr	relative	preposition::	None	?	:
Daniel 2:19	370909	דִֽי	ATr	relative	preposition::	None	?	:
Daniel 2:20	370939	הִֽיא	ATa	affirmation	personal pronoun::	None	?	:
Daniel 2:22	370966	מָ֣ה	APfxbs	indefinite	interrogative pronoun::	None	?	:
Daniel 2:23	370982	וּ	ANcfsd	common	conjunction::	None	?	:
Daniel 2:23	370983	גְבוּרְתָ֖א	ATd	definite article	noun::	ATd	definite article	:>
Daniel 2:24	370999	דְּנָ֗ה	AC	conjunction	demonstrative pronoun::	None	?	:
Daniel 2:26	371066	איתיך	ATa	affirmation	noun:copulative noun:	ASp2ms	pronominal	p:
Daniel 2:26	371072	חֲזֵ֖ית	ATr	relative	verb::	None	?	:
Daniel 2:28	371095	בְּרַ֡ם	AC	conjunction	adverb::	None	?	:
Daniel 2:28	371096	אִיתַ֞י	ATa	affirmation	noun:copulative noun:	None	?	:
Daniel 2:28	371107	מָ֛ה	APfxbs	indefinite	interrogative pronoun::	None	?	:
Daniel 2:28	371120	הֽוּא	HTa	affirmation	personal pronoun::	None	?	:
Daniel 2:29	371127	מָ֛ה	APfxbs	indefinite	interrogative pronoun::	None	?	:
Daniel 2:29	371136	מָה	APfxbs	indefinite	interrogative pronoun::	None	?	:
Daniel 2:30	371145	אִיתַ֥י	ATa	affirmation	noun:copulative noun:	None	?	:
Daniel 2:32	371187	ה֣וּא	APd3ms	demonstrative	personal pronoun::	None	?	:
Daniel 2:35	371257	הִמֹּון֙	ASp3mp	pronominal	personal pronoun::	None	?	:
Daniel 2:38	371321	ה֔וּא	ATa	affirmation	personal pronoun::	None	?	:
Daniel 2:44	371452	אִנּ֗וּן	APdxmp	demonstrative	personal pronoun::	None	?	:
Daniel 2:45	371507	מָ֛ה	APfxbs	indefinite	interrogative pronoun::	None	?	:
Daniel 2:47	371547	ה֣וּא	ATa	affirmation	personal pronoun::	None	?	:
Daniel 3:6	371722	מַן	APf3bs	indefinite	interrogative pronoun::	None	?	:
Daniel 3:6	371723	דִּי	APf3bs	indefinite	preposition::	None	?	:
