passage	node	occurrence	OSMmorph	OSMtype	BHStype	OSMmorphSuffix	OSMsuffixType	BHSsuffixType
Genesis 4:6	1763	לָ֖מָּה	HR	preposition	interrogative particle::	HTi	interrogative	:
Genesis 4:8	1792	אָחִ֑יו	HNcmsc	common	noun:distributive noun:	HSp3ms	pronominal	p:J
Genesis 4:8	1805	אָחִ֖יו	HNcmsc	common	noun:distributive noun:	HSp3ms	pronominal	p:J
Genesis 4:9	1815	אָחִ֑יךָ	HNcmsc	common	noun:distributive noun:	HSp2ms	pronominal	p:J
Genesis 4:10	1830	אָחִ֔יךָ	HNcmsc	common	noun:distributive noun:	HSp2ms	pronominal	p:J
Genesis 4:11	1851	אָחִ֖יךָ	HNcmsc	common	noun:distributive noun:	HSp2ms	pronominal	p:J
Genesis 4:15	1911	לָכֵן֙	HR	preposition	adverb:conjunctive adverb:	HD	adverb	:
Genesis 4:15	1915	שִׁבְעָתַ֖יִם	HNcfda	common	noun:cardinal:	None	?	:
Genesis 4:15	1924	בִלְתִּ֥י	HC	conjunction	noun:potential preposition:	None	?	:J
Genesis 4:16	1941	קִדְמַת	HNcfsc	common	noun:potential preposition:	None	?	:
Genesis 4:20	2010	אֲבִ֕י	HNcmsc	common	noun::	None	?	:J
Genesis 4:21	2017	אָחִ֖יו	HNcmsc	common	noun:distributive noun:	HSp3ms	pronominal	p:J
Genesis 4:21	2021	אֲבִ֕י	HNcmsc	common	noun::	None	?	:J
Genesis 4:22	2029	גַם	HD	adverb	adverb:focus particle:	None	?	:
Genesis 4:24	2068	שִׁבְעָתַ֖יִם	HNcfda	common	noun:cardinal:	None	?	:
Genesis 6:3	2650	גַּ֖ם	HD	adverb	adverb:focus particle:	None	?	:
Genesis 6:4	2674	כֵ֗ן	HD	adverb	adverb:anaphoric adverb:	None	?	:
Genesis 6:4	2689	גִּבֹּרִ֛ים	HAampa	adjective	noun::	None	?	:
Genesis 6:12	2822	דַּרְכֹּ֖ו	HNcbsc	common	noun:potential preposition:	HSp3ms	pronominal	p:
Genesis 6:16	2897	תְּכַלֶ֣נָּה	HVpi2ms	verb	verb::	HSp3fs	pronominal	p:N
Genesis 6:16	2900	מַ֔עְלָה	HD	adverb	noun::	HSd	directional he	:H
Genesis 6:22	3036	כֵּ֥ן	HTm	demonstrative	adverb:anaphoric adverb:	None	?	:
Genesis 7:20	3440	מַ֔עְלָה	HD	adverb	noun::	HSd	directional he	:H
Genesis 8:13	3807	רִאשֹׁון֙	HAamsa	adjective	adjective:ordinal:	None	?	:
Genesis 9:5	4110	אַ֨ךְ	HD	adverb	adverb:focus particle:	None	?	:
Genesis 9:5	4129	אָחִ֔יו	HNcmsc	common	noun:distributive noun:	HSp3ms	pronominal	p:J
Genesis 9:18	4387	אֲבִ֥י	HNcmsc	common	noun::	None	?	:J
