passage	node	occurrence	OSMmorph	stemOSM	stemBHS	conjOSM	conjBHS	personOSM	personBHS	genderOSM	genderBHS	numberOSM	numberBHS
Jeremiah 25:3	247070	אַשְׁכֵּ֥ים	HVha	hiphil	hiphil	inf abs	imperfect	_	1	?	?	?	s
Jeremiah 25:7	247159	הכעסוני	HVhp3cp	hiphil	hiphil	perfect	inf cons	3	?	c	?	p	?
Jeremiah 25:16	247375	הִֽתְגֹּֽעֲשׁ֖וּ	HVrq3cp	hithpolel	hithpoel	weqatal	perfect	3	3	c	?	p	p
Jeremiah 25:34	247790	תְפֹוצֹ֣ותִיכֶ֔ם	HNcfpc	tiphil	tiphal	?	perfect	p	1	c	?	?	s
Jeremiah 26:2	247887	הִשְׁתַּחֲוֹ֣ת	HVtc	hithpael	hishtaphel	inf cons	inf cons	_	?	?	?	?	?
Jeremiah 26:19	248339	יָרֵ֣א	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Jeremiah 27:9	248714	עֹֽנְנֵיכֶ֖ם	HVmrmpc	poel	piel	part act	part act	_	?	m	m	p	p
Jeremiah 30:10	250400	שַׁאֲנַ֖ן	HVkq3ms	palel	piel	weqatal	perfect	3	3	m	m	s	s
Jeremiah 31:15	250917	נִשְׁמָע֙	HVNsmsa	niphal	niphal	part pass	perfect	_	3	m	m	s	s
Jeremiah 31:22	251063	תְּסֹ֥ובֵֽב	HVmi3fs	poel	piel	imperfect	imperfect	3	3	f	f	s	s
Jeremiah 33:26	253138	אשׁוב	HVqi1cs	qal	hiphil	imperfect	imperfect	1	1	c	?	s	s
Jeremiah 34:11	253428	יכבישׁום	HVhw3mp	hiphil	qal	wayyiqtol	wayyiqtol	3	3	m	m	p	p
Jeremiah 35:5	253835	מְלֵאִ֥ים	HAampa	?	qal	?	part act	p	?	a	m	?	p
Jeremiah 37:21	255562	אֹפִ֔ים	HVqrmpa	qal	?	part act	?	_	_	m	m	p	p
Jeremiah 38:23	256240	תִּשְׂרֹ֥ף	HVqi3fs	qal	qal	imperfect	imperfect	3	2	f	m	s	s
Jeremiah 40:4	256879	טֹ֨וב	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Jeremiah 41:5	257432	מִתְגֹּֽדְדִ֑ים	HVzrmpa	hithpoel	hithpael	part act	part act	_	?	m	m	p	p
Jeremiah 42:20	258271	התעתים	HVhp1cs	hiphil	hiphil	perfect	perfect	1	2	c	m	s	p
Jeremiah 43:11	258603	באה	HVqrmsc	qal	qal	part act	perfect	_	3	m	m	s	s
Jeremiah 44:19	259220	הַסֵּ֥ךְ	HVhc	hiphil	hiphil	inf cons	inf abs	_	?	?	?	?	?
Jeremiah 44:25	259423	הַסֵּ֥ךְ	HVhc	hiphil	hiphil	inf cons	inf abs	_	?	?	?	?	?
Jeremiah 44:25	259427	תָּקִ֨ימְנָה֙	HVhi2fp	hiphil	hiphil	imperfect	imperfect	2	3	f	f	p	p
Jeremiah 44:25	259432	תַעֲשֶׂ֖ינָה	HVqi2fp	qal	qal	imperfect	imperfect	2	3	f	f	p	p
Jeremiah 46:8	259825	יִתְגֹּ֣עֲשׁוּ	HVri3mp	hithpolel	hithpoel	imperfect	imperfect	3	3	m	m	p	p
Jeremiah 46:11	259905	הרביתי	HVhp1cs	hiphil	hiphil	perfect	perfect	1	2	c	f	s	s
Jeremiah 46:27	260200	שַׁאֲנַ֖ן	HVkp3ms	palel	piel	perfect	perfect	3	3	m	m	s	s
Jeremiah 48:6	260447	תִֽהְיֶ֕ינָה	HVqi2fp	qal	qal	imperfect	imperfect	2	3	f	f	p	p
Jeremiah 48:11	260522	שַׁאֲנַ֨ן	HVkp3ms	palel	piel	perfect	perfect	3	3	m	m	s	s
Jeremiah 48:20	260672	הילילי	HVhv2fs	hiphil	hiphil	imperative	imperative	2	2	f	m	s	p
Jeremiah 48:20	260674	זעקי	HVqv2fs	qal	qal	imperative	imperative	2	2	f	m	s	p
Jeremiah 48:27	260766	נמצאה	HVNp3fs	niphal	niphal	perfect	perfect	3	3	f	m	s	s
Jeremiah 49:4	261210	זָ֣ב	HVqrmsa	qal	qal	part act	perfect	_	3	m	m	s	s
Jeremiah 49:14	261388	הִֽתְקַבְּצוּ֙	HVtp3cp	hithpael	hithpael	perfect	imperative	3	2	c	m	p	p
Jeremiah 49:19	261483	בָח֖וּר	HVQsmsa	qalpassive	qal	part pass	part pass	_	?	m	m	s	s
Jeremiah 49:25	261599	עֻזְּבָ֖ה	HVQp3fs	qalpassive	pual	perfect	perfect	3	3	f	f	s	s
Jeremiah 49:39	261867	אשׁוב	HVqi1cs	qal	hiphil	imperfect	imperfect	1	1	c	?	s	s
Jeremiah 50:6	261981	היה	HVqp3ms	qal	qal	perfect	perfect	3	3	m	?	s	p
Jeremiah 50:6	261986	שׁובבים	HAampa	?	piel	?	perfect	p	3	a	?	?	p
Jeremiah 50:8	262021	יצאו	HVqp3cp	qal	qal	perfect	imperative	3	2	c	m	p	p
Jeremiah 50:11	262067	תשׂמחי	HVqi2fs	qal	qal	imperfect	imperfect	2	2	f	m	s	p
Jeremiah 50:11	262069	תעלזי	HVqi2fs	qal	qal	imperfect	imperfect	2	2	f	m	s	p
Jeremiah 50:11	262073	תפושׁי	HVqi2fs	qal	qal	imperfect	imperfect	2	2	f	m	s	p
Jeremiah 50:11	262078	תצהלי	HVqi2fs	qal	qal	imperfect	imperfect	2	2	f	m	s	p
Jeremiah 50:34	262501	הִרְגִּ֣יעַ	HVhc	hiphil	hiphil	inf cons	perfect	_	3	?	m	?	s
Jeremiah 50:34	262506	הִרְגִּ֖יז	HVhc	hiphil	hiphil	inf cons	perfect	_	3	?	m	?	s
Jeremiah 50:44	262688	ארוצם	HVqi1cs	qal	hiphil	imperfect	imperfect	1	1	c	?	s	s
Jeremiah 51:1	262760	קָמָ֑י	HNp	piel	qal	?	part act	?	?	?	m	?	p
Jeremiah 51:2	262771	יבֹקְק֖וּ	HVmi3mp	poel	piel	imperfect	imperfect	3	3	m	m	p	p
Jeremiah 51:13	262974	בִּצְעֵֽךְ	HNcmsc	tiphil	qal	?	inf cons	s	?	c	?	?	?
Jeremiah 51:25	263169	גִלְגַּלְתִּ֨יךָ֙	HVlq1cs	pilpel	piel	weqatal	perfect	1	1	c	?	s	s
Jeremiah 51:58	263750	עַרְעֵ֣ר	HVla	pilpel	piel	inf abs	inf abs	_	?	?	?	?	?
Jeremiah 51:58	263751	תִּתְעַרְעָ֔ר	HVfi3fs	hithpalpel	hithpael	imperfect	imperfect	3	3	f	f	s	s
Ezekiel 1:18	265071	מְלֵאֹ֥ת	HAafpa	?	qal	?	part act	p	?	a	f	?	p
Ezekiel 3:15	265794	אשׁר	HTr	hithpolel	qal	?	wayyiqtol	?	1	?	?	?	s
Ezekiel 4:12	266321	תְּעֻגֶ֖נָה	HVqi2ms	qal	qal	imperfect	imperfect	2	3	m	f	s	p
Ezekiel 7:21	267523	חללה	HVpq3ms	piel	piel	weqatal	perfect	3	3	m	?	s	p
Ezekiel 8:16	268013	מִשְׁתַּחֲוִיתֶ֥ם	HVvrmpa	hishtaphel	hishtaphel	part act	imperfect	_	2	m	m	p	p
Ezekiel 9:1	268086	קָרְב֖וּ	HVqv2mp	qal	piel	imperative	imperative	2	2	m	m	p	p
Ezekiel 9:2	268120	לָבֻ֣שׁ	HVqsmsa	qal	?	part pass	?	_	_	m	m	s	s
Ezekiel 9:3	268158	לָּבֻ֣שׁ	HVqsmsa	qal	?	part pass	?	_	_	m	m	s	s
Ezekiel 9:11	268357	לְבֻ֣שׁ	HVqsmsc	qal	?	part pass	?	_	_	m	m	s	s
Ezekiel 10:2	268400	לְבֻ֣שׁ	HVqsmsa	qal	?	part pass	?	_	_	m	m	s	s
Ezekiel 10:6	268508	לְבֻֽשׁ	HVqsmsc	qal	?	part pass	?	_	_	m	m	s	s
Ezekiel 10:7	268556	לְבֻ֣שׁ	HVqsmsc	qal	?	part pass	?	_	_	m	m	s	s
Ezekiel 10:12	268653	מְלֵאִ֤ים	HAampa	?	qal	?	part act	p	?	a	m	?	p
Ezekiel 11:7	268985	הֹוצִ֥יא	HVhp3ms	hiphil	hiphil	perfect	inf cons	3	?	m	?	s	?
Ezekiel 14:4	270435	בה	HR	?	qal	?	part act	?	?	?	m	?	s
Ezekiel 15:3	270911	יֻקַּ֤ח	HVQi3ms	qalpassive	hophal	imperfect	imperfect	3	3	m	m	s	s
Ezekiel 16:10	271215	אֲכַסֵּ֖ךְ	HVpw1cs	piel	piel	wayyiqtol	imperfect	1	1	c	?	s	s
Ezekiel 16:26	271479	גִּדְלֵ֣י	HVqrmpc	qal	?	part act	?	_	_	m	m	p	p
Ezekiel 16:30	271536	אֲמֻלָה֙	HVqsfsa	qal	?	part pass	?	_	_	f	f	s	s
Ezekiel 16:39	271716	נִתְּצ֣וּ	HVpq3cp	piel	niphal	weqatal	perfect	3	3	c	?	p	p
Ezekiel 16:59	272092	עשׂית	HVqq2fs	qal	qal	weqatal	perfect	2	1	f	?	s	s
Ezekiel 17:9	272349	יְקֹוסֵ֣ס	HVmi3ms	poel	piel	imperfect	imperfect	3	3	m	m	s	s
Ezekiel 17:9	272366	מַשְׂאֹ֥ות	HVqc	qal	?	inf cons	?	_	_	?	f	?	p
Ezekiel 21:24	274934	בָּרֵ֔א	HVpa	piel	piel	inf abs	imperative	_	2	?	m	?	s
Ezekiel 21:24	274939	בָּרֵֽא	HVpa	piel	piel	inf abs	imperative	_	2	?	m	?	s
Ezekiel 21:26	274971	קִלְקַ֤ל	HVlp3ms	pilpel	piel	perfect	perfect	3	3	m	m	s	s
Ezekiel 21:36	275173	אָפִ֣יחַ	HVhi1cs	hiphil	qal	imperfect	imperfect	1	1	c	?	s	s
Ezekiel 22:4	275260	תָּבֹ֖וא	HVqw3fs	qal	qal	wayyiqtol	wayyiqtol	3	2	f	m	s	s
Ezekiel 23:15	275933	סְרוּחֵ֤י	HVqsmpc	qal	?	part pass	?	_	_	m	m	p	p
Ezekiel 23:42	276431	סובאים	HVqrmpa	qal	?	part act	?	_	_	m	m	p	p
Ezekiel 23:43	276451	יזנה	HVqi3ms	qal	qal	imperfect	imperfect	3	3	m	m	s	p
Ezekiel 24:2	276583	כתוב	HVqa	qal	qal	inf abs	imperative	_	2	?	m	?	s
Ezekiel 24:4	276640	מַלֵּֽא	HVpv2ms	piel	piel	imperative	inf abs	2	?	m	?	s	?
Ezekiel 24:10	276738	הָתֵ֖ם	HVha	hiphil	hiphil	inf abs	imperative	_	2	?	m	?	s
Ezekiel 27:25	278188	שָׁרֹותַ֖יִךְ	HVqrfpc	qal	?	part act	?	_	_	f	f	p	p
Ezekiel 28:13	278576	כֹּונָֽנוּ	HVOp3cp	polal	pual	perfect	perfect	3	3	c	?	p	p
Ezekiel 28:17	278643	רַ֥אֲוָה	HVqc	qal	?	inf cons	?	_	_	?	f	?	s
Ezekiel 28:23	278734	נִפְלַ֤ל	HVlq3ms	pilpel	piel	weqatal	perfect	3	3	m	m	s	s
Ezekiel 30:4	279327	בָאָ֥ה	HVqq3fs	qal	qal	weqatal	part act	3	?	f	f	s	s
Ezekiel 35:12	282361	שׁממה	HVqp3fs	qal	qal	perfect	perfect	3	3	f	?	s	p
Ezekiel 36:3	282457	שַׁמֹּות֩	HVqc	qal	?	inf cons	?	_	_	?	f	?	p
Ezekiel 37:1	283225	מְלֵאָ֥ה	HAafsa	?	qal	?	part act	s	?	a	f	?	s
Ezekiel 37:22	283670	יהיה	HVqi3ms	qal	qal	imperfect	imperfect	3	3	m	m	s	p
Ezekiel 37:23	283685	יִֽטַמְּא֣וּ	HVti3mp	hithpael	piel	imperfect	imperfect	3	3	m	m	p	p
Ezekiel 40:26	285552	עלותו	HNcfsc	tiphil	qal	?	part act	s	?	c	f	?	p
Ezekiel 42:5	286778	קְצֻרֹ֑ות	HVqsfpa	qal	?	part pass	?	_	_	f	f	p	p
Ezekiel 42:9	286866	מבוא	HNcmsa	tiphil	hiphil	?	part act	s	?	a	m	?	s
Ezekiel 44:24	288284	שׁפט	HVqc	qal	?	inf cons	?	_	_	?	m	?	s
Ezekiel 46:9	289272	הִֽשְׁתַּחֲוֹ֗ת	HVtc	hithpael	hishtaphel	inf cons	inf cons	_	?	?	?	?	?
Ezekiel 46:9	289297	יצאו	HVqi3mp	qal	qal	imperfect	imperfect	3	3	m	m	p	s
Ezekiel 46:15	289435	ועשׂו	HC	?	qal	?	imperfect	?	3	?	m	?	p
Ezekiel 47:10	289892	יעמדו	HVqi3mp	qal	qal	imperfect	perfect	3	3	m	?	p	p
Ezekiel 47:12	289958	היו	HVqq3cp	qal	qal	weqatal	perfect	3	3	c	m	p	s
Ezekiel 48:14	290467	יעבור	HVqi3ms	qal	hiphil	imperfect	imperfect	3	3	m	m	s	s
Hosea 2:3	291156	רֻחָֽמָה	HVPp3fs	pual	?	perfect	?	3	_	f	f	s	s
Hosea 2:9	291270	טֹ֥וב	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Hosea 4:3	291739	אֻמְלַל֙	HVKq3ms	pulal	pual	weqatal	perfect	3	3	m	m	s	s
Hosea 6:9	292339	חַכֵּ֨י	HVpc	piel	piel	inf cons	part act	_	?	?	m	?	p
Hosea 7:4	292420	אֹפֶ֑ה	HVqrmsa	qal	?	part act	?	_	_	m	m	s	s
Hosea 7:6	292451	אֹֽפֵהֶ֔ם	HVqrmsc	qal	?	part act	?	_	_	m	m	s	s
Hosea 9:7	292906	רַבָּ֖ה	HAafsa	?	qal	?	perfect	s	3	a	f	?	s
Hosea 9:10	292959	אָהֳבָֽם	HVqc	qal	?	inf cons	?	_	_	?	?	?	s
Hosea 10:1	293079	טֹ֣וב	HAamsa	?	qal	?	inf cons	s	?	a	?	?	?
Hosea 10:2	293091	יְשֹׁדֵ֖ד	HVmi3ms	poel	piel	imperfect	imperfect	3	3	m	m	s	s
Hosea 10:14	293288	יוּשַּׁ֔ד	HVQi3ms	qalpassive	hophal	imperfect	imperfect	3	3	m	m	s	s
Hosea 11:3	293346	קָחָ֖ם	HVqp3ms	qal	qal	perfect	inf cons	3	?	m	?	s	?
Hosea 13:3	293752	יְסֹעֵ֣ר	HVmi3ms	poel	poel	imperfect	imperfect	3	3	m	m	s	s
Hosea 14:9	294040	אֲשׁוּרֶ֗נּוּ	HVqw1cs	qal	qal	wayyiqtol	imperfect	1	1	c	?	s	s
Joel 1:10	294203	אֻמְלַ֥ל	HVKp3ms	pulal	pual	perfect	perfect	3	3	m	m	s	s
Joel 1:11	294205	הֹבִ֣ישׁוּ	HVhv2mp	hiphil	hiphil	imperative	perfect	2	3	m	?	p	p
Joel 1:11	294207	הֵילִ֨ילוּ֙	HVhv2mp	hiphil	hiphil	imperative	perfect	2	3	m	?	p	p
Joel 1:12	294224	אֻמְלָ֑לָה	HVKp3fs	pulal	pual	perfect	perfect	3	3	f	f	s	s
Joel 4:1	295018	אשׁוב	HVqi1cs	qal	hiphil	imperfect	imperfect	1	1	c	?	s	s
Joel 4:3	295064	זֹּונָ֔ה	HNcfsa	tiphil	qal	?	part act	s	?	a	f	?	s
Joel 4:14	295248	חָר֑וּץ	HNp	piel	qal	?	part pass	?	?	?	m	?	s
Joel 4:14	295256	חָרֽוּץ	HNp	piel	qal	?	part pass	?	?	?	m	?	s
Amos 2:13	295905	תָּעִיק֙	HVhi3fs	hiphil	qal	imperfect	imperfect	3	3	f	f	s	s
Amos 4:5	296309	קַטֵּ֤ר	HVpa	piel	piel	inf abs	imperative	_	2	?	m	?	s
