passage	node	occurrence	OSMmorph	OSMmorphSuffix	OSMtype	OSMsuffixType	BHStype	BHSsuffixType
Genesis 1:22	419	אמֹ֑ר	HVqc	None	verb	?	verb:quotation verb:?	-:-
Genesis 1:23	445	חֲמִישִֽׁי	HAomsa	None	adjective	?	adjective:ordinal:?	-:-
Genesis 1:24	447	יֹּ֣אמֶר	HVqw3ms	None	verb	?	verb:quotation verb:?	-:-
Genesis 1:24	453	חַיָּה֙	HAafsa	None	adjective	?	adjective:-:?	-:-
Genesis 1:24	460	חַֽיְתֹו	HNcfsc	None	noun	?	noun:-:?	-:W
Genesis 1:24	466	כֵֽן	HD	None	adverb	?	adverb:anaphoric adverb:?	-:-
Genesis 1:25	484	כָּל	HNcmsc	None	noun	?	noun:distributive noun:?	-:-
Genesis 1:26	496	יֹּ֣אמֶר	HVqw3ms	None	verb	?	verb:quotation verb:?	-:-
Genesis 1:26	521	כָל	HNcmsc	None	noun	?	noun:distributive noun:?	-:-
Genesis 1:26	526	כָל	HNcmsc	None	noun	?	noun:distributive noun:?	-:-
Genesis 1:27	547	זָכָ֥ר	HAamsa	None	adjective	?	adjective:-:?	-:-
Genesis 1:28	557	יֹּ֨אמֶר	HVqw3ms	None	verb	?	verb:quotation verb:?	-:-
Genesis 1:28	583	כָל	HNcmsc	None	noun	?	noun:distributive noun:?	-:-
Genesis 1:29	593	הִנֵּה֩	HTm	None	particle	?	interjection:-:?	-:-
Genesis 1:29	597	כָּל	HNcmsc	None	noun	?	noun:distributive noun:?	-:-
Genesis 1:29	601	אֲשֶׁר֙	HTr	None	particle	?	conjunction:-:?	-:-
Genesis 1:29	604	כָל	HNcmsc	None	noun	?	noun:distributive noun:?	-:-
Genesis 1:29	609	כָּל	HNcmsc	None	noun	?	noun:distributive noun:?	-:-
Genesis 1:29	612	אֲשֶׁר	HTr	None	particle	?	conjunction:-:?	-:-
Genesis 1:30	624	כָל	HNcmsc	None	noun	?	noun:distributive noun:?	-:-
Genesis 1:30	641	אֲשֶׁר	HTr	None	particle	?	conjunction:-:?	-:-
Genesis 1:30	644	חַיָּ֔ה	HAafsa	None	adjective	?	adjective:-:?	-:-
Genesis 1:30	653	כֵֽן	HD	None	adverb	?	adverb:anaphoric adverb:?	-:-
Genesis 1:31	659	אֲשֶׁ֣ר	HTr	None	particle	?	conjunction:-:?	-:-
Genesis 1:31	662	הִנֵּה	HTm	None	particle	?	interjection:-:?	-:-
Genesis 1:31	663	טֹ֖וב	HAamsa	None	adjective	?	adjective:-:?	-:-
Genesis 1:31	664	מְאֹ֑ד	HD	None	adverb	?	noun:potential adverb:?	-:-
Genesis 1:31	673	שִּׁשִּֽׁי	HAomsa	None	adjective	?	adjective:ordinal:?	-:-
Genesis 2:2	691	שְּׁבִיעִ֔י	HAomsa	None	adjective	?	adjective:ordinal:?	-:-
Genesis 2:2	693	אֲשֶׁ֣ר	HTr	None	particle	?	conjunction:-:?	-:-
Genesis 2:2	701	שְּׁבִיעִ֔י	HAomsa	None	adjective	?	adjective:ordinal:?	-:-
Genesis 2:3	713	שְּׁבִיעִ֔י	HAomsa	None	adjective	?	adjective:ordinal:?	-:-
Genesis 2:4	728	אֵ֣לֶּה	HPdxcp	None	pronoun	?	demonstrative pronoun:-:?	-:-
Genesis 2:4	740	יְהוָ֥ה	HNp	None	noun	?	proper noun:-:?	-:-
Genesis 2:5	750	טֶ֚רֶם	HD	None	adverb	?	noun:potential preposition:?	-:-
Genesis 2:5	760	טֶ֣רֶם	HD	None	adverb	?	noun:potential preposition:?	-:-
Genesis 2:5	763	לֹ֨א	HTn	None	particle	?	negative particle:-:?	-:-
Genesis 2:5	765	יְהוָ֤ה	HNp	None	noun	?	proper noun:-:?	-:-
Genesis 2:5	772	אַ֔יִן	HTn	None	particle	?	noun:copulative noun:?	-:-
Genesis 2:7	793	יְהוָ֨ה	HNp	None	noun	?	proper noun:-:?	-:-
Genesis 2:8	817	יְהוָ֧ה	HNp	None	noun	?	proper noun:-:?	-:-
Genesis 2:8	821	עֵ֖דֶן	HNp	None	noun	?	proper noun:-:?	-:-
Genesis 2:9	834	יְהוָ֤ה	HNp	None	noun	?	proper noun:-:?	-:-
Genesis 2:10	867	עֵ֔דֶן	HNp	None	noun	?	proper noun:-:?	-:-
Genesis 2:11	885	פִּישֹׁ֑ון	HNp	None	noun	?	proper noun:-:?	-:-
Genesis 2:11	893	חֲוִילָ֔ה	HNp	None	noun	?	proper noun:-:?	-:-
Genesis 2:13	917	שֵּׁנִ֖י	HAomsa	None	adjective	?	adjective:ordinal:?	-:-
Genesis 2:13	918	גִּיחֹ֑ון	HNp	None	noun	?	proper noun:-:?	-:-
Genesis 2:14	931	שְּׁלִישִׁי֙	HAomsa	None	adjective	?	adjective:ordinal:?	-:-
Genesis 2:14	936	קִדְמַ֣ת	HNcfsc	None	noun	?	noun:potential preposition:?	-:-
Genesis 2:17	986	לֹ֥א	HTn	None	particle	?	negative particle:-:?	-:-
Genesis 2:18	1000	לֹא	HTn	None	particle	?	negative particle:-:?	-:-
Genesis 2:19	1036	מַה	HTi	None	particle	?	interrogative pronoun:-:?	-:-
Genesis 2:20	1073	לֹֽא	HTn	None	particle	?	negative particle:-:?	-:-
Genesis 2:23	1120	זֹ֣את	HPdxfs	None	pronoun	?	demonstrative pronoun:-:?	-:-
Genesis 2:23	1131	זֹאת֙	HPdxfs	None	pronoun	?	demonstrative pronoun:-:?	-:-
Genesis 2:23	1138	זֹּֽאת	HPdxfs	None	pronoun	?	demonstrative pronoun:-:?	-:-
Genesis 2:24	1140	כֵּן֙	HTm	None	particle	?	adverb:anaphoric adverb:?	-:-
